fecha,noreste_dioxido_de_nitrogeno,suroeste_dioxido_de_nitrogeno,noroeste_dioxido_de_nitrogeno,sureste_dioxido_de_nitrogeno,centro_dioxido_de_nitrogeno
2005-01-31,19.063172043010752,21.982526881720432,22.278225806451612,25.936827956989248,26.907258064516128
2005-02-28,18.864583333333332,19.424107142857142,20.175595238095237,23.453869047619047,25.169642857142858
2005-03-31,18.533602150537636,17.59005376344086,19.801075268817204,20.201612903225808,22.978494623655912
2005-04-30,18.766666666666666,18.34861111111111,22.504166666666666,22.3625,25.022222222222222
2005-05-31,18.501344086021504,18.543010752688172,19.59543010752688,23.623655913978496,24.623655913978496
2005-06-30,14.079166666666667,14.181944444444444,14.527777777777779,18.794444444444444,18.365277777777777
2005-07-31,14.005376344086022,15.248655913978494,15.21774193548387,20.758064516129032,19.723118279569892
2005-08-31,14.362903225806452,16.072580645161292,15.016129032258064,18.801075268817204,19.349462365591396
2005-09-30,14.758333333333333,17.01388888888889,15.806944444444444,20.586111111111112,19.504166666666666
2005-10-31,15.388440860215054,17.23521505376344,17.49462365591398,20.823924731182796,20.59543010752688
2005-11-30,16.858333333333334,19.815277777777776,21.544444444444444,23.870833333333334,24.644444444444446
2005-12-31,20.893817204301076,22.017473118279568,23.682795698924732,25.245967741935484,27.06048387096774
2006-01-31,18.818548387096776,20.051075268817204,22.36021505376344,22.90456989247312,23.096774193548388
2006-02-28,18.142857142857142,17.988095238095237,19.922619047619047,23.706845238095237,23.367559523809526
2006-03-31,17.134408602150536,17.311827956989248,19.872311827956988,21.176075268817204,22.927419354838708
2006-04-30,16.925,15.920833333333333,17.695833333333333,20.775,21.158333333333335
2006-05-31,17.331989247311828,17.008064516129032,17.868279569892472,22.079301075268816,20.76478494623656
2006-06-30,14.1,15.229166666666666,16.3125,20.252777777777776,18.85011627148958
2006-07-31,15.053763440860216,13.843007405429002,15.776881720430108,19.053763440860216,17.79032258064516
2006-08-31,16.419354838709676,14.915322580645162,17.276881720430108,19.572580645161292,19.309139784946236
2006-09-30,15.133333333333333,15.302777777777777,17.441666666666666,17.431944444444444,18.565779497903932
2006-10-31,16.88037634408602,16.70967741935484,18.28494623655914,18.998655913978496,19.400537634408604
2006-11-30,19.50138888888889,19.825,22.363888888888887,23.455555555555556,24.302123151994206
2006-12-31,19.416666666666668,20.44489247311828,21.642473118279568,20.626344086021504,22.420698924731184
2007-01-31,14.67741935483871,15.803763440860216,18.509408602150536,17.573924731182796,18.23521505376344
2007-02-28,18.49702380952381,17.160714285714285,21.107142857142858,19.776785714285715,21.96577380952381
2007-03-31,17.002803789017438,16.724462365591396,18.963709677419356,19.801075268817204,20.997797363562945
2007-04-30,17.17222222222222,17.381944444444443,18.5375,19.20138888888889,21.143055555555556
2007-05-31,17.192204301075268,15.182795698924732,16.625,19.361559139784948,20.028225806451612
2007-06-30,16.15845280420691,15.66388888888889,18.72361111111111,20.156944444444445,20.09861111111111
2007-07-31,14.213825294393784,14.44758064516129,16.15994623655914,17.932795698924732,17.705645161290324
2007-08-31,12.59274193548387,13.461021505376344,14.541666666666666,17.506720430107528,16.34543010752688
2007-09-30,13.393055555555556,15.158333333333333,15.2125,19.308333333333334,18.081944444444446
2007-10-31,14.908833384486492,16.426075268817204,17.15994623655914,20.36021505376344,19.94489247311828
2007-11-30,16.35162783063604,18.03472222222222,18.84722222222222,21.55,21.43611111111111
2007-12-31,20.370967741935484,20.643817204301076,21.594086021505376,24.357526881720432,24.56989247311828
2008-01-31,15.016244649232494,17.598118279569892,18.754032258064516,19.2230382495474,20.221774193548388
2008-02-29,16.035919540229884,17.63362068965517,19.112068965517242,19.836206896551722,21.20689655172414
2008-03-31,17.080645161290324,15.547043010752688,18.169354838709676,18.913858449589917,20.598118279569892
2008-04-30,16.440994603019234,17.480555555555554,19.693055555555556,21.712458651155046,20.169444444444444
2008-05-31,15.823924731182796,15.620967741935484,17.607526881720432,19.473118279569892,19.15456989247312
2008-06-30,12.848730581984688,15.01388888888889,16.025,19.068055555555556,17.658333333333335
2008-07-31,13.733870967741936,14.268817204301076,16.196236559139784,18.276801690407616,17.138440860215052
2008-08-31,15.49731182795699,15.190860215053764,19.063172043010752,18.397849462365592,19.76478494623656
2008-09-30,13.108333333333333,14.248611111111112,15.570833333333333,16.094444444444445,16.727777777777778
2008-10-31,14.451612903225806,15.185483870967742,17.18010752688172,16.309099769934992,18.186827956989248
2008-11-30,17.444444444444443,17.85972222222222,20.866666666666667,19.575,21.410223942348377
2008-12-31,18.936827956989248,19.978494623655912,25.14516129032258,21.75130407101026,24.513440860215052
2009-01-31,16.74070701482389,17.061827956989248,18.865591397849464,20.387096774193548,20.482526881720432
2009-02-28,17.08346133784074,17.700892857142858,19.022321428571427,20.953869047619047,20.205357142857142
2009-03-31,15.051075268817204,15.029569892473118,17.307795698924732,18.201612903225808,17.809139784946236
2009-04-30,15.320833333333333,14.895833333333334,19.644444444444446,17.718055555555555,17.21388888888889
2009-05-31,14.940860215053764,15.692204301075268,17.545698924731184,18.49462365591398,17.748655913978496
2009-06-30,12.514008359762466,14.626388888888888,16.23611111111111,18.090236428932823,16.8199461645706
2009-07-31,13.713709677419354,15.153225806451612,16.928763440860216,19.311827956989248,17.283602150537636
2009-08-31,12.480069943626276,14.512627714083811,16.411290322580644,17.241935483870968,17.146505376344088
2009-09-30,14.258333333333333,15.25,16.959722222222222,16.06388888888889,16.87361111111111
2009-10-31,14.27027690729701,15.727150537634408,17.553763440860216,15.92741935483871,17.658602150537636
