fecha,noreste_pm10,suroeste_pm10,noroeste_pm10,sureste_pm10,centro_pm10
2005-01-31,76.77150537634408,55.200268817204304,56.84139784946237,58.706989247311824,60.14247311827957
2005-02-28,71.74553571428571,52.955357142857146,53.13690476190476,56.791666666666664,56.49107142857143
2005-03-31,66.62768817204301,45.51478494623656,46.93817204301075,52.96370967741935,51.97849462365591
2005-04-30,73.20138888888889,54.44305555555555,58.90416666666667,58.56666666666667,59.3014861057433
2005-05-31,69.21236559139786,51.87768817204301,56.43010752688172,55.51881720430107,57.0139224809387
2005-06-30,56.46944444444444,38.27638888888889,46.31944444444444,42.9375,44.11098379480524
2005-07-31,55.25268817204301,36.78629032258065,47.284946236559136,41.58870967741935,42.62231182795699
2005-08-31,52.03629032258065,31.553763440860216,39.50268817204301,38.31442974339326,40.371326153330955
2005-09-30,58.30694444444445,37.13055555555555,45.108333333333334,45.513888888888886,42.36944444444445
2005-10-31,61.579301075268816,41.56317204301075,45.78360215053763,47.61424731182796,44.098118279569896
2005-11-30,66.55694444444444,46.7375,50.325,54.459722222222226,53.266666666666666
2005-12-31,79.17338709677419,54.26209677419355,55.17741935483871,61.53225806451613,62.026881720430104
2006-01-31,76.14516129032258,47.373655913978496,53.85349462365591,56.59139784946237,58.24635528183229
2006-02-28,72.74553571428571,44.38690476190476,52.30654761904762,56.45238095238095,60.700892857142854
2006-03-31,72.3239247311828,45.84165208953155,52.33870967741935,54.54032258064516,58.51840053590285
2006-04-30,61.8826851295931,43.66295011427819,47.63968218421845,49.00014740403539,56.56908100450256
2006-05-31,59.251344086021504,35.56586021505376,42.495258720561885,41.556451612903224,45.8484296505519
2006-06-30,61.730555555555554,35.446335990559156,42.19166666666667,39.455555555555556,41.588731473131624
2006-07-31,53.32392473118279,30.077956989247312,36.56989247311828,34.82275142594155,41.41812944074996
2006-08-31,58.64784946236559,34.447151823388836,41.72715053763441,38.37231182795699,38.01075268817204
2006-09-30,53.358333333333334,31.808333333333334,40.75,34.71527777777778,35.118631938182
2006-10-31,58.100806451612904,31.855042101732764,41.982807435681536,39.71777006719763,40.76355285295402
2006-11-30,67.76527777777778,38.294444444444444,48.047222222222224,44.27895906690853,45.96663656721526
2006-12-31,79.36155913978494,42.02434609242861,46.704301075268816,46.28225806451613,44.87223565904214
2007-01-31,65.26881720430107,34.759408602150536,42.28360215053763,39.310369353614995,40.189686378773956
2007-02-28,75.88095238095238,37.342261904761905,45.72767857142857,43.00297619047619,47.78684523042695
2007-03-31,62.501344086021504,38.288978494623656,45.681451612903224,42.81989247311828,47.368449819634165
2007-04-30,62.30416666666667,39.165277777777774,46.354166666666664,41.94027777777778,46.87916666666667
2007-05-31,59.95295698924731,33.914436126748186,40.87096774193548,39.314516129032256,43.20774641519343
2007-06-30,59.923611111111114,31.843055555555555,40.67916666666667,40.451388888888886,40.27638888888889
2007-07-31,56.00897836550658,29.672043010752688,35.303763440860216,34.47703602028166,39.23374775841367
2007-08-31,47.094086021505376,25.751344086021504,33.090053763440864,31.208962183524598,35.10215053763441
2007-09-30,56.397222222222226,32.67916666666667,38.87916666666667,37.92603388509538,45.704166666666666
2007-10-31,55.28544791031651,31.576612903225808,40.126344086021504,40.26747311827957,47.36336693461809
2007-11-30,64.12531477034115,36.54866365405874,48.545833333333334,43.83888888888889,56.22184027330461
2007-12-31,78.74596774193549,46.770517226419436,50.08870967741935,56.306451612903224,71.33064516129032
2008-01-31,75.15322580645162,42.31720430107527,50.06317204301075,51.395161290322584,64.27150537634408
2008-02-29,76.08477011494253,44.3117816091954,53.24856321839081,52.020114942528735,63.47557471264368
2008-03-31,73.04569892473118,46.155913978494624,53.63978494623656,53.255376344086024,65.24327956989248
2008-04-30,67.63866659995618,40.58611111111111,51.209722222222226,51.290277777777774,60.793055555555554
2008-05-31,65.89516129032258,40.13575268817204,49.123655913978496,48.30241935483871,56.581989247311824
2008-06-30,59.168055555555554,31.704166666666666,41.78806402947991,38.40694444444444,43.2
2008-07-31,58.229838709677416,29.303763440860216,38.865591397849464,35.82481074779331,41.2755376344086
2008-08-31,59.28225806451613,28.315860215053764,37.803763440860216,34.23146809383193,38.05913978494624
2008-09-30,52.888888888888886,28.441666666666666,35.48566836145154,32.06111111111111,35.93888888888889
2008-10-31,57.85618279569893,28.960440139562383,39.74596774193548,34.649193548387096,41.350806451612904
2008-11-30,76.97361111111111,36.24027777777778,55.766666666666666,49.647222222222226,56.275
2008-12-31,91.47446236559139,44.13978494623656,69.84408602150538,56.43413978494624,61.858870967741936
2009-01-31,75.02956989247312,39.24327956989247,58.83736559139785,48.87903225806452,48.473118279569896
