fecha,noroeste_ozono,noroeste_dioxido_de_azufre,noroeste_dioxido_de_nitrogeno,noroeste_monoxido_de_carbono,noroeste_pm10,noreste_ozono,noreste_dioxido_de_azufre,noreste_dioxido_de_nitrogeno,noreste_monoxido_de_carbono,noreste_pm10,centro_ozono,centro_dioxido_de_azufre,centro_dioxido_de_nitrogeno,centro_monoxido_de_carbono,centro_pm10,suroeste_ozono,suroeste_dioxido_de_azufre,suroeste_dioxido_de_nitrogeno,suroeste_monoxido_de_carbono,suroeste_pm10,sureste_ozono,sureste_dioxido_de_azufre,sureste_dioxido_de_nitrogeno,sureste_monoxido_de_carbono,sureste_pm10
2005-01-31,35.766129032258064,19.295698924731184,22.278225806451612,18.849462365591396,56.84139784946237,34.49731182795699,17.502688172043012,19.063172043010752,17.379032258064516,76.77150537634408,29.528225806451612,18.01478494623656,26.907258064516128,22.013440860215052,60.14247311827957,42.62903225806452,13.668010752688172,21.982526881720432,17.501344086021504,55.200268817204304,40.125,13.965091050413138,25.936827956989248,22.038978494623656,58.706989247311824
2005-02-28,34.148809523809526,12.59672619047619,20.175595238095237,16.983630952380953,53.13690476190476,34.53720238095238,15.058035714285714,18.864583333333332,16.300595238095237,71.74553571428571,28.370535714285715,11.581845238095237,25.169642857142858,19.897321428571427,56.49107142857143,42.84077380952381,7.590773809523809,19.424107142857142,14.505952380952381,52.955357142857146,39.645833333333336,7.971726190476191,23.453869047619047,19.949404761904763,56.791666666666664
2005-03-31,34.479838709677416,12.700268817204302,19.801075268817204,17.076612903225808,46.93817204301075,37.178763440860216,18.16532258064516,18.533602150537636,15.766129032258064,66.62768817204301,28.346774193548388,12.271505376344086,22.978494623655912,20.239247311827956,51.97849462365591,41.71370967741935,9.509408602150538,17.59005376344086,13.456989247311828,45.51478494623656,40.63306451612903,10.170698924731182,20.201612903225808,17.31451612903226,52.96370967741935
2005-04-30,38.87222222222222,22.769444444444446,22.504166666666666,18.434722222222224,58.90416666666667,43.03333333333333,29.266666666666666,18.766666666666666,14.031944444444445,73.20138888888889,35.11388888888889,17.10972222222222,25.022222222222222,21.051388888888887,59.3014861057433,46.236111111111114,10.584722222222222,18.34861111111111,14.483333333333333,54.44305555555555,43.91388888888889,12.011111111111111,22.3625,18.925,58.56666666666667
2005-05-31,41.36021505376344,11.71236559139785,19.59543010752688,16.596774193548388,56.43010752688172,45.501344086021504,14.36021505376344,18.501344086021504,16.16532258064516,69.21236559139786,38.028225806451616,9.80241935483871,24.623655913978496,19.36962365591398,57.0139224809387,50.325268817204304,6.223118279569892,18.543010752688172,14.461021505376344,51.87768817204301,47.46370967741935,6.356182795698925,23.623655913978496,20.306451612903224,55.51881720430107
2005-06-30,30.511111111111113,9.71111111111111,14.527777777777779,11.915277777777778,46.31944444444444,30.47222222222222,10.5,14.079166666666667,12.359722222222222,56.46944444444444,24.105555555555554,7.476388888888889,18.365277777777777,18.18888888888889,44.11098379480524,33.94027777777778,6.169444444444444,14.181944444444444,11.89861111111111,38.27638888888889,31.745833333333334,6.127777777777778,18.794444444444444,18.07638888888889,42.9375
2005-07-31,30.771505376344088,13.916666666666666,15.21774193548387,13.35752688172043,47.284946236559136,30.89516129032258,9.975806451612904,14.005376344086022,12.362903225806452,55.25268817204301,25.467741935483872,9.170698924731182,19.723118279569892,19.16532258064516,42.62231182795699,37.32392473118279,7.161290322580645,15.248655913978494,12.161290322580646,36.78629032258065,34.51881720430107,7.149193548387097,20.758064516129032,19.43951612903226,41.58870967741935
2005-08-31,30.123655913978496,9.798387096774194,15.016129032258064,14.10752688172043,39.50268817204301,28.01478494623656,7.654569892473118,14.362903225806452,13.423387096774194,52.03629032258065,25.93010752688172,7.15994623655914,19.349462365591396,17.149193548387096,40.371326153330955,38.04435483870968,6.112903225806452,16.072580645161292,12.163978494623656,31.553763440860216,33.88306451612903,6.049731182795699,18.801075268817204,18.95967741935484,38.31442974339326
2005-09-30,32.18472222222222,13.331944444444444,15.806944444444444,14.109722222222222,45.108333333333334,31.018055555555556,10.88888888888889,14.758333333333333,13.697222222222223,58.30694444444445,29.691666666666666,10.075,19.504166666666666,15.719444444444445,42.36944444444445,41.37222222222222,7.770833333333333,17.01388888888889,12.222222222222221,37.13055555555555,37.1625,8.169444444444444,20.586111111111112,18.431944444444444,45.513888888888886
2005-10-31,29.918010752688172,15.138440860215054,17.49462365591398,14.669354838709678,45.78360215053763,29.102150537634408,12.551075268817204,15.388440860215054,14.388440860215054,61.579301075268816,26.831989247311828,12.775537634408602,20.59543010752688,18.508064516129032,44.098118279569896,41.07795698924731,9.606182795698924,17.23521505376344,13.307795698924732,41.56317204301075,35.668010752688176,9.86021505376344,20.823924731182796,17.65456989247312,47.61424731182796
2005-11-30,31.15,18.56111111111111,21.544444444444444,17.727777777777778,50.325,32.330555555555556,19.23472222222222,16.858333333333334,16.61111111111111,66.55694444444444,27.4625,14.2,24.644444444444446,19.96527777777778,53.266666666666666,42.44166666666667,10.444444444444445,19.815277777777776,14.656944444444445,46.7375,34.53055555555556,9.968055555555555,23.870833333333334,20.404166666666665,54.459722222222226
2005-12-31,32.153225806451616,19.061827956989248,23.682795698924732,19.701612903225808,55.17741935483871,34.58736559139785,17.752688172043012,20.893817204301076,20.053763440860216,79.17338709677419,31.061827956989248,16.21505376344086,27.06048387096774,21.918010752688172,62.026881720430104,43.420698924731184,11.08736559139785,22.017473118279568,17.275537634408604,54.26209677419355,36.946236559139784,10.89516129032258,25.245967741935484,19.25,61.53225806451613
