fecha,noreste_monoxido_de_carbono,suroeste_monoxido_de_carbono,noroeste_monoxido_de_carbono,sureste_monoxido_de_carbono,centro_monoxido_de_carbono
2005-01-31,17.379032258064516,17.501344086021504,18.849462365591396,22.038978494623656,22.013440860215052
2005-02-28,16.300595238095237,14.505952380952381,16.983630952380953,19.949404761904763,19.897321428571427
2005-03-31,15.766129032258064,13.456989247311828,17.076612903225808,17.31451612903226,20.239247311827956
2005-04-30,14.031944444444445,14.483333333333333,18.434722222222224,18.925,21.051388888888887
2005-05-31,16.16532258064516,14.461021505376344,16.596774193548388,20.306451612903224,19.36962365591398
2005-06-30,12.359722222222222,11.89861111111111,11.915277777777778,18.07638888888889,18.18888888888889
2005-07-31,12.362903225806452,12.161290322580646,13.35752688172043,19.43951612903226,19.16532258064516
2005-08-31,13.423387096774194,12.163978494623656,14.10752688172043,18.95967741935484,17.149193548387096
2005-09-30,13.697222222222223,12.222222222222221,14.109722222222222,18.431944444444444,15.719444444444445
2005-10-31,14.388440860215054,13.307795698924732,14.669354838709678,17.65456989247312,18.508064516129032
2005-11-30,16.61111111111111,14.656944444444445,17.727777777777778,20.404166666666665,19.96527777777778
2005-12-31,20.053763440860216,17.275537634408604,19.701612903225808,19.25,21.918010752688172
2006-01-31,19.58467741935484,15.068548387096774,18.077956989247312,16.397849462365592,20.196236559139784
2006-02-28,18.15922619047619,13.479166666666666,15.491071428571429,16.214285714285715,18.96577380952381
2006-03-31,15.87231182795699,12.619623655913978,14.564516129032258,13.318548387096774,17.298387096774192
2006-04-30,13.2875,13.286111111111111,12.905555555555555,16.108333333333334,17.2875
2006-05-31,15.05510752688172,11.641129032258064,12.227150537634408,15.34005376344086,15.638440860215054
2006-06-30,11.03888888888889,11.806944444444444,11.72638888888889,19.613888888888887,15.831944444444444
2006-07-31,12.702956989247312,11.89247311827957,12.053763440860216,15.216397849462366,17.172043010752688
2006-08-31,13.112903225806452,10.548387096774194,12.09274193548387,16.518817204301076,17.272849462365592
2006-09-30,13.369444444444444,11.335425403301976,13.323611111111111,14.266666666666667,17.541666666666668
2006-10-31,15.740591397849462,13.458333333333334,15.836021505376344,14.564516129032258,19.098118279569892
2006-11-30,17.025,13.969444444444445,16.63888888888889,17.3625,20.448611111111113
2006-12-31,21.27016129032258,14.338709677419354,18.614247311827956,16.176075268817204,23.288978494623656
2007-01-31,14.197414516269076,10.59005376344086,14.743279569892474,14.12768817204301,14.404569892473118
2007-02-28,14.316964285714286,9.425595238095237,16.022321428571427,14.128323868320635,15.498511904761905
2007-03-31,12.184139784946236,10.268817204301076,14.361559139784946,14.303763440860216,13.817204301075268
2007-04-30,11.588888888888889,10.25,14.118055555555555,14.184722222222222,14.669444444444444
2007-05-31,9.780913978494624,9.295698924731182,11.330645161290322,14.934139784946236,13.455645161290322
2007-06-30,11.6875,9.379166666666666,14.0125,15.5,13.684722222222222
2007-07-31,8.924398925011273,9.141129032258064,12.939516129032258,14.698924731182796,15.061827956989248
2007-08-31,9.008064516129032,7.900537634408602,12.135752688172044,15.344086021505376,13.14247311827957
2007-09-30,9.996249445264487,8.825,12.779166666666667,15.136111111111111,13.656944444444445
2007-10-31,10.16846881795121,8.993279569892474,12.481182795698924,15.563172043010752,14.521505376344086
2007-11-30,11.73611111111111,9.552777777777777,14.613888888888889,16.95277777777778,16.895833333333332
2007-12-31,14.495967741935484,10.696236559139784,17.666666666666668,16.321236559139784,19.688172043010752
2008-01-31,12.221774193548388,9.567204301075268,14.946236559139784,14.221774193548388,14.702956989247312
2008-02-29,12.099137931034482,9.495689655172415,13.672413793103448,11.767241379310345,15.550287356321839
2008-03-31,11.524193548387096,10.46236559139785,12.21505376344086,10.213709677419354,13.758064516129032
2008-04-30,11.385596111545253,11.347222222222221,12.386111111111111,11.722222222222221,14.030555555555555
2008-05-31,8.0,9.577956989247312,12.26478494623656,11.845430107526882,12.791666666666666
2008-06-30,9.040277777777778,8.91388888888889,10.188888888888888,12.606944444444444,13.426388888888889
2008-07-31,9.336021505376344,8.981182795698924,11.489247311827956,11.192204301075268,12.606182795698924
2008-08-31,10.081989247311828,10.452956989247312,11.12231182795699,12.10483870967742,13.32258064516129
2008-09-30,7.3597222222222225,9.906944444444445,10.394444444444444,10.184722222222222,11.625
2008-10-31,8.118279569892474,10.701612903225806,10.901881720430108,7.743279569892473,13.928763440860216
2008-11-30,10.570833333333333,11.154166666666667,13.904166666666667,12.190494110658765,14.2625
2008-12-31,11.883064516129032,14.846774193548388,18.073924731182796,13.423387096774194,18.18010752688172
2009-01-31,10.060483870967742,11.702956989247312,13.778225806451612,13.010752688172044,14.838709677419354
2009-02-28,9.425595238095237,10.398809523809524,13.617559523809524,13.59672619047619,13.239583333333334
2009-03-31,9.016129032258064,9.266129032258064,12.702956989247312,11.911290322580646,10.184139784946236
2009-04-30,8.516666666666667,8.006961917715063,11.519444444444444,10.809722222222222,9.869444444444444
2009-05-31,7.060483870967742,8.268817204301076,10.155913978494624,12.506720430107526,9.612903225806452
2009-06-30,6.652777777777778,8.418055555555556,10.0875,12.870833333333334,9.315277777777778
2009-07-31,7.728494623655914,8.12768817204301,8.901881720430108,12.088709677419354,10.458333333333334
2009-08-31,8.239247311827956,9.34274193548387,9.580645161290322,11.778225806451612,9.87231182795699
2009-09-30,8.881944444444445,10.41388888888889,10.490277777777777,10.734722222222222,10.7125
2009-10-31,8.883064516129032,10.272849462365592,12.43010752688172,10.674731182795698,10.868279569892474
2009-11-30,9.168055555555556,11.845833333333333,12.416666666666666,10.395833333333334,12.790277777777778
