fecha,noreste_dioxido_de_azufre,suroeste_dioxido_de_azufre,noroeste_dioxido_de_azufre,sureste_dioxido_de_azufre,centro_dioxido_de_azufre
2005-01-31,17.502688172043012,13.668010752688172,19.295698924731184,13.965091050413138,18.01478494623656
2005-02-28,15.058035714285714,7.590773809523809,12.59672619047619,7.971726190476191,11.581845238095237
2005-03-31,18.16532258064516,9.509408602150538,12.700268817204302,10.170698924731182,12.271505376344086
2005-04-30,29.266666666666666,10.584722222222222,22.769444444444446,12.011111111111111,17.10972222222222
2005-05-31,14.36021505376344,6.223118279569892,11.71236559139785,6.356182795698925,9.80241935483871
2005-06-30,10.5,6.169444444444444,9.71111111111111,6.127777777777778,7.476388888888889
2005-07-31,9.975806451612904,7.161290322580645,13.916666666666666,7.149193548387097,9.170698924731182
2005-08-31,7.654569892473118,6.112903225806452,9.798387096774194,6.049731182795699,7.15994623655914
2005-09-30,10.88888888888889,7.770833333333333,13.331944444444444,8.169444444444444,10.075
2005-10-31,12.551075268817204,9.606182795698924,15.138440860215054,9.86021505376344,12.775537634408602
2005-11-30,19.23472222222222,10.444444444444445,18.56111111111111,9.968055555555555,14.2
2005-12-31,17.752688172043012,11.08736559139785,19.061827956989248,10.89516129032258,16.21505376344086
2006-01-31,11.10752688172043,5.877688172043011,14.33736559139785,6.181451612903226,12.461014476961683
2006-02-28,10.443452380952381,6.011904761904762,12.880952380952381,5.502976190476191,9.217261904761905
2006-03-31,8.685483870967742,4.263440860215054,10.317204301075268,4.936827956989247,5.778225806451613
2006-04-30,6.663888888888889,4.138888888888889,8.483333333333333,4.2444444444444445,6.825
2006-05-31,9.80510752688172,5.122311827956989,11.834677419354838,5.880376344086022,9.268817204301076
2006-06-30,7.268055555555556,3.6319444444444446,8.45138888888889,4.3694444444444445,6.386727588095601
2006-07-31,7.668010752688172,3.9583333333333335,9.182795698924732,4.858870967741935,6.593317440870028
2006-08-31,7.626344086021505,5.099462365591398,12.075268817204302,4.451612903225806,7.313172043010753
2006-09-30,6.551388888888889,3.5819444444444444,8.7875,4.088888888888889,5.75
2006-10-31,7.077956989247312,3.8521505376344085,9.380376344086022,3.9475806451612905,6.5972198794173345
2006-11-30,8.7625,6.458333333333333,13.204166666666667,6.115277777777778,8.072222222222223
2006-12-31,10.588709677419354,5.708333333333333,13.131720430107526,6.479838709677419,8.196236559139784
2007-01-31,9.795698924731182,4.901881720430108,11.254032258064516,5.885752688172043,7.137096774193548
2007-02-28,10.811011904761905,4.119047619047619,10.901785714285714,5.7038690476190474,6.211309523809524
2007-03-31,8.126344086021506,4.231182795698925,9.75268817204301,4.883064516129032,6.364247311827957
2007-04-30,7.995833333333334,3.5194444444444444,8.5125,4.561111111111111,5.663888888888889
2007-05-31,6.782258064516129,3.967741935483871,8.301075268817204,4.208333333333333,5.459677419354839
2007-06-30,8.005555555555556,5.1194444444444445,10.1875,6.184722222222222,7.041666666666667
2007-07-31,6.888440860215054,4.056451612903226,8.206989247311828,4.956989247311828,6.256720430107527
2007-08-31,5.216397849462366,3.1693548387096775,5.934139784946237,3.946236559139785,3.4193548387096775
2007-09-30,8.276388888888889,6.070833333333334,10.633333333333333,6.055555555555555,6.370833333333334
2007-10-31,8.733870967741936,6.916666666666667,11.549731182795698,7.032258064516129,7.544354838709677
2007-11-30,10.508333333333333,7.338888888888889,13.420833333333333,8.120833333333334,8.425
2007-12-31,8.649193548387096,6.743279569892473,11.03763440860215,5.995967741935484,7.243279569892473
2008-01-31,11.544354838709678,7.094086021505376,14.076612903225806,7.442204301075269,9.530913978494624
2008-02-29,8.147988505747126,5.852011494252873,10.441091954022989,4.875,7.2011494252873565
2008-03-31,6.538978494623656,6.424731182795699,8.091397849462366,5.412634408602151,5.78494623655914
2008-04-30,9.765277777777778,7.6375,10.506944444444445,6.3125,7.9430555555555555
2008-05-31,6.629032258064516,6.05241935483871,7.837365591397849,4.809139784946237,6.263440860215054
2008-06-30,6.616666666666666,4.530555555555556,6.826388888888889,5.154166666666667,5.395833333333333
2008-07-31,6.638440860215054,4.315860215053763,7.290322580645161,4.848118279569892,5.274193548387097
2008-08-31,6.610215053763441,4.65994623655914,6.436827956989247,5.256720430107527,5.712365591397849
2008-09-30,5.201388888888889,5.090277777777778,6.694444444444445,4.095833333333333,3.6458333333333335
2008-10-31,6.69489247311828,6.834677419354839,8.893817204301076,5.974462365591398,6.360215053763441
2008-11-30,8.563888888888888,7.173611111111111,11.245833333333334,6.233333333333333,8.047222222222222
2008-12-31,8.189516129032258,7.450268817204301,12.489247311827956,6.059139784946237,8.075268817204302
2009-01-31,8.356182795698924,6.876344086021505,11.076612903225806,6.084677419354839,7.541666666666667
2009-02-28,8.858630952380953,6.166666666666667,10.982142857142858,6.811011904761905,8.037202380952381
2009-03-31,7.192204301075269,4.69489247311828,8.93010752688172,5.139784946236559,6.268817204301075
2009-04-30,6.125,4.615277777777778,7.3125,4.252777777777778,5.7625
2009-05-31,6.129032258064516,4.678763440860215,6.064516129032258,4.065860215053763,4.298387096774194
2009-06-30,4.795833333333333,4.915277777777778,6.888888888888889,4.579166666666667,4.476388888888889
2009-07-31,6.782258064516129,6.575268817204301,10.129032258064516,5.681451612903226,6.98252688172043
2009-08-31,5.646505376344086,4.504032258064516,10.06989247311828,5.397849462365591,7.321236559139785
2009-09-30,4.779166666666667,5.423611111111111,7.2972222222222225,4.425,5.863888888888889
2009-10-31,5.169354838709677,4.834677419354839,8.295698924731182,4.798387096774194,6.565860215053763
