fecha,noreste_ozono,suroeste_ozono,noroeste_ozono,sureste_ozono,centro_ozono
2005-01-31,34.49731182795699,42.62903225806452,35.766129032258064,40.125,29.528225806451612
2005-02-28,34.53720238095238,42.84077380952381,34.148809523809526,39.645833333333336,28.370535714285715
2005-03-31,37.178763440860216,41.71370967741935,34.479838709677416,40.63306451612903,28.346774193548388
2005-04-30,43.03333333333333,46.236111111111114,38.87222222222222,43.91388888888889,35.11388888888889
2005-05-31,45.501344086021504,50.325268817204304,41.36021505376344,47.46370967741935,38.028225806451616
2005-06-30,30.47222222222222,33.94027777777778,30.511111111111113,31.745833333333334,24.105555555555554
2005-07-31,30.89516129032258,37.32392473118279,30.771505376344088,34.51881720430107,25.467741935483872
2005-08-31,28.01478494623656,38.04435483870968,30.123655913978496,33.88306451612903,25.93010752688172
2005-09-30,31.018055555555556,41.37222222222222,32.18472222222222,37.1625,29.691666666666666
2005-10-31,29.102150537634408,41.07795698924731,29.918010752688172,35.668010752688176,26.831989247311828
2005-11-30,32.330555555555556,42.44166666666667,31.15,34.53055555555556,27.4625
2005-12-31,34.58736559139785,43.420698924731184,32.153225806451616,36.946236559139784,31.061827956989248
2006-01-31,30.848118279569892,42.185483870967744,31.241935483870968,33.0255376344086,28.973118279569892
2006-02-28,32.910714285714285,45.10267857142857,30.96875,35.180059523809526,28.279761904761905
2006-03-31,32.10752688172043,41.564516129032256,31.381720430107528,32.458333333333336,25.591397849462364
2006-04-30,36.290277777777774,48.1375,37.77361111111111,38.67777777777778,31.031944444444445
2006-05-31,35.443548387096776,44.149193548387096,35.556451612903224,37.655913978494624,29.288978494623656
2006-06-30,31.038888888888888,40.83611111111111,32.875,34.298611111111114,24.404166666666665
2006-07-31,25.309139784946236,34.346774193548384,26.506720430107528,28.68951612903226,19.263440860215052
2006-08-31,29.456989247311828,39.64650537634409,30.72043010752688,32.064516129032256,24.489247311827956
2006-09-30,27.97361111111111,38.041666666666664,30.43888888888889,31.461111111111112,23.134722222222223
2006-10-31,27.927419354838708,36.58870967741935,27.760752688172044,29.481182795698924,20.572580645161292
2006-11-30,29.745833333333334,40.077777777777776,31.3125,30.73611111111111,23.613888888888887
2006-12-31,27.801075268817204,35.909946236559136,28.059139784946236,28.513440860215052,19.323924731182796
2007-01-31,27.270456803946843,36.473118279569896,26.47983870967742,28.36021505376344,20.129032258064516
2007-02-28,34.69940476190476,44.620535714285715,33.836309523809526,34.13392857142857,26.113095238095237
2007-03-31,33.049731182795696,46.600806451612904,35.23118279569893,35.653225806451616,27.52414872552966
2007-04-30,34.55694444444445,46.16111111111111,32.46527777777778,34.4625,26.52638888888889
2007-05-31,35.876344086021504,47.19220430107527,33.11827956989247,35.840053763440864,27.462365591397848
2007-06-30,32.36944444444445,44.86666666666667,32.606944444444444,35.584722222222226,24.425
2007-07-31,30.719086021505376,42.74596774193548,30.536290322580644,34.935483870967744,24.907258064516128
2007-08-31,29.408602150537636,36.47849462365591,27.489247311827956,31.497311827956988,23.033602150537636
2007-09-30,26.769444444444446,37.147222222222226,26.329166666666666,30.079166666666666,22.533333333333335
2007-10-31,30.006720430107528,37.20295698924731,27.52016129032258,31.202956989247312,22.772849462365592
2007-11-30,30.26527777777778,37.730555555555554,26.70277777777778,32.13472222222222,22.23472222222222
2007-12-31,31.842741935483872,42.53763440860215,29.11021505376344,34.903225806451616,25.178763440860216
2008-01-31,30.037634408602152,36.42741935483871,28.134408602150536,31.63978494623656,23.486559139784948
2008-02-29,34.785919540229884,40.74568965517241,31.157906972983778,33.992816091954026,26.83477011494253
2008-03-31,38.15456989247312,45.74193548387097,36.52137534031816,39.516129032258064,32.24596774193548
2008-04-30,38.74305555555556,46.640277777777776,38.68888888888889,41.92777777777778,30.281944444444445
2008-05-31,37.56586021505376,44.99731182795699,38.681451612903224,40.663978494623656,31.721774193548388
2008-06-30,30.4375,38.05972222222222,30.398611111111112,33.205555555555556,25.056944444444444
2008-07-31,30.108870967741936,37.233870967741936,30.556451612903224,34.259408602150536,25.775537634408604
2008-08-31,29.93951612903226,36.69892473118279,29.7002688172043,31.993279569892472,25.655913978494624
2008-09-30,26.836111111111112,27.77777777777778,23.82777777777778,26.255555555555556,20.05
2008-10-31,28.0752688172043,32.384408602150536,27.990591397849464,28.256720430107528,22.543010752688172
2008-11-30,28.058333333333334,31.65972222222222,25.719444444444445,28.380555555555556,21.57217590526954
2008-12-31,31.940860215053764,38.090053763440864,30.263440860215052,31.690860215053764,23.537634408602152
2009-01-31,28.440860215053764,30.940860215053764,25.88037634408602,31.9247311827957,22.736559139784948
2009-02-28,31.845238095238095,37.888392857142854,31.555059523809526,36.700892857142854,28.651785714285715
2009-03-31,30.672043010752688,36.75268817204301,30.916666666666668,35.88575268817204,28.77956989247312
2009-04-30,34.44305555555555,41.62638888888889,34.80972222222222,42.3375,32.30277777777778
2009-05-31,32.990591397849464,39.02150537634409,33.965053763440864,39.72849462365591,31.517473118279568
2009-06-30,31.1875,36.46111111111111,31.136111111111113,36.15694444444444,26.591666666666665
2009-07-31,32.26478494623656,37.045698924731184,32.78629032258065,38.5,28.331989247311828
2009-08-31,29.08467741935484,33.08064516129032,30.271505376344088,35.19086021505376,25.329301075268816
2009-09-30,27.945833333333333,31.845833333333335,28.615277777777777,32.1375,24.330555555555556
2009-10-31,29.63037634408602,29.701612903225808,27.006720430107528,30.88978494623656,24.002688172043012
2009-11-30,31.582860536679675,35.25277777777778,31.665277777777778,35.168055555555554,28.56111111111111
